,course,Users per course,Start Date,End Date,Course duration days,Week before start,Date_threshold_10,Date_threshold_25,Date_threshold_33,Date_threshold_50,Date_threshold_100
2,1010.0,48.0,2014-09-08,2014-12-26,110.0,2014-09-01,2014-09-19,2014-10-10,2014-10-17,2014-11-07,2015-01-02
3,1013.0,71.0,2014-09-22,2015-02-06,138.0,2014-09-15,2014-10-10,2014-10-31,2014-11-07,2014-12-05,2015-02-13
4,1020.0,64.0,2015-01-05,2015-06-05,152.0,2014-12-29,2015-01-23,2015-02-13,2015-02-27,2015-03-27,2015-06-12
5,1024.0,78.0,2015-01-19,2015-07-03,166.0,2015-01-12,2015-02-06,2015-03-06,2015-03-20,2015-04-17,2015-07-10
6,1026.0,112.0,2014-09-15,2015-01-30,138.0,2014-09-08,2014-10-03,2014-10-24,2014-10-31,2014-11-28,2015-02-06
7,1027.0,55.0,2015-02-16,2015-05-29,103.0,2015-02-09,2015-02-27,2015-03-13,2015-03-27,2015-04-10,2015-06-05
10,1039.0,91.0,2015-03-02,2015-06-26,117.0,2015-02-23,2015-03-13,2015-04-03,2015-04-10,2015-05-01,2015-07-03
12,1044.0,74.0,2015-01-19,2015-07-03,166.0,2015-01-12,2015-02-06,2015-03-06,2015-03-20,2015-04-17,2015-07-10
13,1048.0,44.0,2015-01-19,2015-06-12,145.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-03,2015-06-19
14,1051.0,32.0,2015-01-12,2015-06-05,145.0,2015-01-05,2015-01-30,2015-02-20,2015-03-06,2015-03-27,2015-06-12
17,1059.0,135.0,2015-01-12,2015-06-05,145.0,2015-01-05,2015-01-30,2015-02-20,2015-03-06,2015-03-27,2015-06-12
18,1062.0,31.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
20,1065.0,80.0,2015-01-19,2015-07-03,166.0,2015-01-12,2015-02-06,2015-03-06,2015-03-20,2015-04-17,2015-07-10
22,1073.0,129.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
24,1077.0,26.0,2015-02-02,2015-05-29,117.0,2015-01-26,2015-02-13,2015-03-06,2015-03-13,2015-04-03,2015-06-05
26,1087.0,31.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
28,1090.0,52.0,2014-11-03,2015-01-30,89.0,2014-10-27,2014-11-14,2014-11-28,2014-12-05,2014-12-19,2015-02-06
31,1104.0,95.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
32,1105.0,25.0,2014-09-22,2014-12-19,89.0,2014-09-15,2014-10-03,2014-10-17,2014-10-24,2014-11-07,2014-12-26
33,1106.0,82.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
34,1108.0,38.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
35,1112.0,199.0,2015-01-12,2015-05-29,138.0,2015-01-05,2015-01-30,2015-02-20,2015-02-27,2015-03-27,2015-06-05
36,1114.0,51.0,2015-01-19,2015-06-12,145.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-03,2015-06-19
37,1115.0,35.0,2015-02-02,2015-05-29,117.0,2015-01-26,2015-02-13,2015-03-06,2015-03-13,2015-04-03,2015-06-05
38,1123.0,47.0,2015-01-05,2015-05-15,131.0,2014-12-29,2015-01-23,2015-02-06,2015-02-20,2015-03-13,2015-05-22
39,1127.0,91.0,2015-04-20,2015-06-26,68.0,2015-04-13,2015-05-01,2015-05-08,2015-05-15,2015-05-29,2015-07-03
40,1131.0,115.0,2014-12-01,2015-06-12,194.0,2014-11-24,2014-12-26,2015-01-23,2015-02-06,2015-03-13,2015-06-19
41,1133.0,41.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
42,1137.0,47.0,2015-02-02,2015-05-22,110.0,2015-01-26,2015-02-13,2015-03-06,2015-03-13,2015-04-03,2015-05-29
43,1142.0,59.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
44,1143.0,85.0,2015-01-19,2015-06-05,138.0,2015-01-12,2015-02-06,2015-02-27,2015-03-06,2015-04-03,2015-06-12
48,1156.0,55.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
49,1159.0,62.0,2014-09-08,2015-01-02,117.0,2014-09-01,2014-09-19,2014-10-10,2014-10-17,2014-11-07,2015-01-09
50,1163.0,28.0,2015-01-26,2015-05-08,103.0,2015-01-19,2015-02-06,2015-02-20,2015-03-06,2015-03-20,2015-05-15
51,1167.0,63.0,2014-09-08,2015-07-03,299.0,2014-09-01,2014-10-10,2014-11-21,2014-12-19,2015-02-06,2015-07-10
52,1170.0,79.0,2014-09-01,2015-01-09,131.0,2014-08-25,2014-09-19,2014-10-03,2014-10-17,2014-11-07,2015-01-16
54,1177.0,129.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
56,1193.0,73.0,2014-10-20,2015-05-15,208.0,2014-10-13,2014-11-14,2014-12-12,2015-01-02,2015-02-06,2015-05-22
57,1194.0,99.0,2015-01-05,2015-05-15,131.0,2014-12-29,2015-01-23,2015-02-06,2015-02-20,2015-03-13,2015-05-22
59,1200.0,107.0,2014-09-08,2015-01-30,145.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-21,2015-02-06
60,1201.0,78.0,2014-09-08,2015-01-30,145.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-21,2015-02-06
61,1215.0,28.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
62,1217.0,26.0,2014-10-13,2015-01-09,89.0,2014-10-06,2014-10-24,2014-11-07,2014-11-14,2014-11-28,2015-01-16
63,1222.0,29.0,2014-09-15,2015-01-23,131.0,2014-09-08,2014-10-03,2014-10-17,2014-10-31,2014-11-21,2015-01-30
65,1231.0,33.0,2014-09-08,2015-02-06,152.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-28,2015-02-13
67,1233.0,81.0,2015-02-09,2015-05-15,96.0,2015-02-02,2015-02-20,2015-03-06,2015-03-13,2015-04-03,2015-05-22
72,1268.0,39.0,2014-09-08,2015-01-30,145.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-21,2015-02-06
73,1288.0,51.0,2014-09-08,2015-01-30,145.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-21,2015-02-06
74,1294.0,49.0,2014-09-01,2015-01-02,124.0,2014-08-25,2014-09-19,2014-10-03,2014-10-17,2014-11-07,2015-01-09
76,1300.0,26.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
77,1303.0,119.0,2015-02-16,2015-06-05,110.0,2015-02-09,2015-02-27,2015-03-20,2015-03-27,2015-04-17,2015-06-12
78,1305.0,85.0,2015-03-02,2015-05-29,89.0,2015-02-23,2015-03-13,2015-03-27,2015-04-03,2015-04-17,2015-06-05
79,1308.0,25.0,2014-09-08,2014-12-12,96.0,2014-09-01,2014-09-19,2014-10-03,2014-10-10,2014-10-31,2014-12-19
81,1313.0,118.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
82,1314.0,29.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
84,1318.0,50.0,2014-10-13,2014-12-19,68.0,2014-10-06,2014-10-24,2014-10-31,2014-11-07,2014-11-21,2014-12-26
86,1328.0,47.0,2014-09-01,2015-01-30,152.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-21,2015-02-06
87,1331.0,54.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
88,1338.0,66.0,2014-09-29,2014-12-19,82.0,2014-09-22,2014-10-10,2014-10-24,2014-10-31,2014-11-14,2014-12-26
89,1341.0,25.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
90,1345.0,136.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
91,1356.0,90.0,2015-04-06,2015-05-29,54.0,2015-03-30,2015-04-17,2015-04-24,2015-04-24,2015-05-08,2015-06-05
92,1357.0,31.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
93,1363.0,126.0,2014-09-22,2014-12-19,89.0,2014-09-15,2014-10-03,2014-10-17,2014-10-24,2014-11-07,2014-12-26
94,1365.0,37.0,2015-01-19,2015-06-19,152.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-06-26
97,1371.0,35.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
98,1376.0,90.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
99,1378.0,73.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
100,1380.0,64.0,2014-09-08,2015-06-05,271.0,2014-09-01,2014-10-10,2014-11-14,2014-12-12,2015-01-23,2015-06-12
101,1385.0,61.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
106,174.0,96.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
107,177.0,97.0,2015-01-26,2015-06-12,138.0,2015-01-19,2015-02-13,2015-03-06,2015-03-13,2015-04-10,2015-06-19
112,1814.0,54.0,2015-01-05,2015-02-13,40.0,2014-12-29,2015-01-09,2015-01-16,2015-01-23,2015-01-30,2015-02-20
117,1832.0,55.0,2014-09-29,2015-01-30,124.0,2014-09-22,2014-10-17,2014-10-31,2014-11-14,2014-12-05,2015-02-06
119,1840.0,58.0,2015-01-05,2015-05-29,145.0,2014-12-29,2015-01-23,2015-02-13,2015-02-27,2015-03-20,2015-06-05
124,190.0,113.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
127,191.0,75.0,2014-09-01,2015-01-09,131.0,2014-08-25,2014-09-19,2014-10-03,2014-10-17,2014-11-07,2015-01-16
131,1954.0,57.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
132,1972.0,25.0,2014-12-29,2015-05-29,152.0,2014-12-22,2015-01-16,2015-02-06,2015-02-20,2015-03-20,2015-06-05
134,1990.0,69.0,2015-03-16,2015-05-15,61.0,2015-03-09,2015-03-27,2015-04-03,2015-04-10,2015-04-17,2015-05-22
135,1997.0,96.0,2014-12-15,2015-05-22,159.0,2014-12-08,2015-01-02,2015-01-23,2015-02-06,2015-03-06,2015-05-29
136,2003.0,31.0,2014-09-08,2014-11-21,75.0,2014-09-01,2014-09-19,2014-09-26,2014-10-03,2014-10-17,2014-11-28
137,2007.0,233.0,2014-09-01,2015-01-02,124.0,2014-08-25,2014-09-19,2014-10-03,2014-10-17,2014-11-07,2015-01-09
138,2019.0,87.0,2014-09-01,2015-01-09,131.0,2014-08-25,2014-09-19,2014-10-03,2014-10-17,2014-11-07,2015-01-16
139,2020.0,50.0,2015-01-19,2015-06-19,152.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-06-26
140,2024.0,327.0,2015-01-05,2015-06-05,152.0,2014-12-29,2015-01-23,2015-02-13,2015-02-27,2015-03-27,2015-06-12
141,2026.0,31.0,2015-01-05,2015-06-26,173.0,2014-12-29,2015-01-23,2015-02-20,2015-03-06,2015-04-03,2015-07-03
142,2027.0,84.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
143,2034.0,39.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
144,2041.0,72.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
145,2046.0,112.0,2014-10-20,2015-01-30,103.0,2014-10-13,2014-10-31,2014-11-14,2014-11-28,2014-12-12,2015-02-06
146,2055.0,88.0,2014-08-25,2015-01-30,159.0,2014-08-18,2014-09-12,2014-10-03,2014-10-17,2014-11-14,2015-02-06
147,2058.0,83.0,2014-09-01,2015-06-05,278.0,2014-08-25,2014-10-03,2014-11-14,2014-12-05,2015-01-23,2015-06-12
148,2059.0,507.0,2014-09-22,2015-01-30,131.0,2014-09-15,2014-10-10,2014-10-24,2014-11-07,2014-11-28,2015-02-06
149,2060.0,72.0,2014-12-08,2015-01-16,40.0,2014-12-01,2014-12-12,2014-12-19,2014-12-26,2015-01-02,2015-01-23
150,2063.0,129.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
151,2068.0,68.0,2015-01-19,2015-06-05,138.0,2015-01-12,2015-02-06,2015-02-27,2015-03-06,2015-04-03,2015-06-12
152,2072.0,62.0,2015-01-19,2015-06-05,138.0,2015-01-12,2015-02-06,2015-02-27,2015-03-06,2015-04-03,2015-06-12
153,2076.0,55.0,2014-09-15,2015-01-09,117.0,2014-09-08,2014-09-26,2014-10-17,2014-10-24,2014-11-14,2015-01-16
154,2083.0,97.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
155,2089.0,26.0,2015-02-23,2015-05-15,82.0,2015-02-16,2015-03-06,2015-03-20,2015-03-27,2015-04-10,2015-05-22
156,2090.0,57.0,2014-10-06,2015-05-29,236.0,2014-09-29,2014-10-31,2014-12-05,2014-12-26,2015-02-06,2015-06-05
157,2102.0,52.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
158,2103.0,69.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
159,2111.0,69.0,2014-11-03,2015-01-16,75.0,2014-10-27,2014-11-14,2014-11-21,2014-11-28,2014-12-12,2015-01-23
160,2113.0,38.0,2015-01-19,2015-06-05,138.0,2015-01-12,2015-02-06,2015-02-27,2015-03-06,2015-04-03,2015-06-12
161,2117.0,28.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
162,2126.0,101.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
164,2135.0,55.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
165,2138.0,70.0,2015-01-19,2015-06-05,138.0,2015-01-12,2015-02-06,2015-02-27,2015-03-06,2015-04-03,2015-06-12
166,2142.0,65.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
167,2150.0,103.0,2014-10-20,2015-01-23,96.0,2014-10-13,2014-10-31,2014-11-14,2014-11-21,2014-12-12,2015-01-30
169,2161.0,29.0,2014-09-15,2015-06-12,271.0,2014-09-08,2014-10-17,2014-11-21,2014-12-19,2015-01-30,2015-06-19
170,2164.0,87.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
171,2167.0,114.0,2015-01-19,2015-06-12,145.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-03,2015-06-19
172,2169.0,26.0,2015-03-09,2015-06-12,96.0,2015-03-02,2015-03-20,2015-04-03,2015-04-10,2015-05-01,2015-06-19
175,2178.0,123.0,2014-09-29,2015-01-16,110.0,2014-09-22,2014-10-10,2014-10-31,2014-11-07,2014-11-28,2015-01-23
176,2184.0,57.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
177,2189.0,122.0,2014-12-08,2015-01-23,47.0,2014-12-01,2014-12-12,2014-12-19,2014-12-26,2015-01-02,2015-01-30
178,2190.0,64.0,2014-09-22,2014-12-26,96.0,2014-09-15,2014-10-03,2014-10-17,2014-10-24,2014-11-14,2015-01-02
179,2192.0,50.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
180,2200.0,48.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
181,2209.0,48.0,2015-01-26,2015-05-29,124.0,2015-01-19,2015-02-13,2015-02-27,2015-03-13,2015-04-03,2015-06-05
182,2213.0,87.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
183,2214.0,39.0,2014-09-15,2015-01-30,138.0,2014-09-08,2014-10-03,2014-10-24,2014-10-31,2014-11-28,2015-02-06
184,2215.0,62.0,2015-01-19,2015-06-12,145.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-03,2015-06-19
185,2221.0,55.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
186,2237.0,62.0,2015-01-19,2015-05-08,110.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-15
188,2243.0,109.0,2015-01-19,2015-06-12,145.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-03,2015-06-19
189,2249.0,30.0,2014-09-08,2015-05-22,257.0,2014-09-01,2014-10-03,2014-11-14,2014-12-05,2015-01-16,2015-05-29
190,2252.0,50.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
191,2253.0,41.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
193,2255.0,42.0,2015-02-16,2015-06-05,110.0,2015-02-09,2015-02-27,2015-03-20,2015-03-27,2015-04-17,2015-06-12
194,2256.0,42.0,2015-01-26,2015-06-05,131.0,2015-01-19,2015-02-13,2015-02-27,2015-03-13,2015-04-03,2015-06-12
195,2261.0,79.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
196,2267.0,54.0,2014-09-08,2015-01-30,145.0,2014-09-01,2014-09-26,2014-10-17,2014-10-31,2014-11-21,2015-02-06
197,2271.0,642.0,2015-01-26,2015-05-29,124.0,2015-01-19,2015-02-13,2015-02-27,2015-03-13,2015-04-03,2015-06-05
198,2272.0,73.0,2015-02-09,2015-05-08,89.0,2015-02-02,2015-02-20,2015-03-06,2015-03-13,2015-03-27,2015-05-15
199,2274.0,73.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
200,2276.0,48.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
201,2280.0,69.0,2014-09-15,2015-01-23,131.0,2014-09-08,2014-10-03,2014-10-17,2014-10-31,2014-11-21,2015-01-30
202,2281.0,56.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
203,2287.0,109.0,2015-01-26,2015-06-26,152.0,2015-01-19,2015-02-13,2015-03-06,2015-03-20,2015-04-17,2015-07-03
204,2288.0,256.0,2015-01-26,2015-06-12,138.0,2015-01-19,2015-02-13,2015-03-06,2015-03-13,2015-04-10,2015-06-19
208,2306.0,55.0,2014-09-15,2015-01-23,131.0,2014-09-08,2014-10-03,2014-10-17,2014-10-31,2014-11-21,2015-01-30
209,2314.0,41.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
211,2334.0,43.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
212,2339.0,67.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
213,2343.0,51.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
214,2345.0,63.0,2014-09-15,2015-01-23,131.0,2014-09-08,2014-10-03,2014-10-17,2014-10-31,2014-11-21,2015-01-30
215,2347.0,64.0,2014-09-15,2015-01-23,131.0,2014-09-08,2014-10-03,2014-10-17,2014-10-31,2014-11-21,2015-01-30
216,2352.0,25.0,2015-01-26,2015-05-15,110.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-22
217,2353.0,59.0,2014-09-15,2015-01-30,138.0,2014-09-08,2014-10-03,2014-10-24,2014-10-31,2014-11-28,2015-02-06
218,2358.0,66.0,2014-10-27,2015-01-16,82.0,2014-10-20,2014-11-07,2014-11-21,2014-11-28,2014-12-12,2015-01-23
219,2370.0,61.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
220,2372.0,74.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
221,2378.0,92.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
222,2379.0,26.0,2014-09-08,2014-12-19,103.0,2014-09-01,2014-09-19,2014-10-03,2014-10-17,2014-10-31,2014-12-26
223,238.0,25.0,2014-09-08,2014-12-05,89.0,2014-09-01,2014-09-19,2014-10-03,2014-10-10,2014-10-24,2014-12-12
224,2383.0,73.0,2014-09-01,2015-06-05,278.0,2014-08-25,2014-10-03,2014-11-14,2014-12-05,2015-01-23,2015-06-12
225,2387.0,67.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
226,2395.0,50.0,2014-09-29,2015-06-05,250.0,2014-09-22,2014-10-24,2014-12-05,2014-12-26,2015-02-06,2015-06-12
227,2397.0,49.0,2014-09-29,2015-01-16,110.0,2014-09-22,2014-10-10,2014-10-31,2014-11-07,2014-11-28,2015-01-23
229,2405.0,43.0,2014-09-22,2015-01-23,124.0,2014-09-15,2014-10-10,2014-10-24,2014-11-07,2014-11-28,2015-01-30
230,2406.0,130.0,2014-11-24,2015-01-23,61.0,2014-11-17,2014-12-05,2014-12-12,2014-12-19,2014-12-26,2015-01-30
231,2407.0,67.0,2014-09-01,2015-01-30,152.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-21,2015-02-06
233,2411.0,363.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
234,2412.0,44.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
235,2415.0,51.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
236,2418.0,168.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
238,242.0,26.0,2014-10-20,2015-01-02,75.0,2014-10-13,2014-10-31,2014-11-07,2014-11-14,2014-11-28,2015-01-09
239,2432.0,81.0,2014-09-08,2015-04-24,229.0,2014-09-01,2014-10-03,2014-11-07,2014-11-28,2015-01-02,2015-05-01
240,2436.0,25.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
243,2449.0,27.0,2014-11-03,2014-12-19,47.0,2014-10-27,2014-11-07,2014-11-14,2014-11-21,2014-11-28,2014-12-26
244,2467.0,63.0,2014-09-01,2015-01-23,145.0,2014-08-25,2014-09-19,2014-10-10,2014-10-24,2014-11-14,2015-01-30
245,2468.0,80.0,2015-01-26,2015-05-29,124.0,2015-01-19,2015-02-13,2015-02-27,2015-03-13,2015-04-03,2015-06-05
